Date,AACG,AACI,AACIW,AADI,AAL,AAME,AAOI,AAON,AAPL,AATC,AAWW,ABCB,ABCL,ABCM,ABEO,ABIO,ABMD,ABNB,ABOS,ABSI,ABST,ABTX,ABUS,ABVC,ACAB,ACABU,ACABW,ACACU,ACAD,ACAH,ACAHU,ACAHW,ACAX,ACB,ACBA,ACBAU,ACBAW,ACCD,ACER,ACET,ACEV,ACEVW,ACGL,ACGLN,ACGLO,ACHC,ACHL,ACHV,ACIU,ACIW,ACKIT,ACKIU,ACLS,ACLX,ACMR,ACNB,ACON,ACOR,ACQR,ACQRU,ACQRW,ACRS,ACRX,ACST,ACT,ACTG,ACVA,ACXP,ADAG,ADAL,ADALU,ADAP,ADBE,ADER,ADERU,ADERW,ADES,ADGI,ADI,ADIL,ADILW,ADMA,ADMP,ADN,ADNWW,ADOC,ADOCR,ADOCW,ADP,ADPT,ADSE,ADSEW,ADSK,ADTH,ADTHW,ADTN,ADTX,ADUS,ADV,ADVM
2022-04-30,17634.999853914433,34241.089716824616,,1304671.2800546126,771150094.8325417,17218.545777147465,737879.1753053665,13252877.391086925,14574973612.891735,99279.92968992754,31656718.00264324,25030858.858385954,8404482.076263428,2253112.13127483,319401.8181818182,300016.6363109242,94028143.61602506,662197446.5889671,719352.8265454553,1913086.5436597303,849573.6264445565,,3128210.705340992,42550.545211271805,16393.454586375843,18525.454503839665,,,36435146.55227661,393365.82350297406,139270.54324583572,,361.09092018821025,16019830.525081808,18059.635959972034,0.0,,20257747.607517242,318631.5466859124,5321644.585141269,,,130503437.74920377,1135662.4699852683,663543.4599442915,49580052.5548068,236797.7261651646,2237757.2233937006,249636.91043203528,18530300.050319325,,,20549082.593258943,454016.45760969684,12054604.040648721,692675.9957400236,9617105.94556729,63193.72686364434,211742.13280547748,61058.880471923134,,4924395.674627477,186085.0937216932,99718.90945217827,3060776.631684737,1803463.092067025,10650099.224194614,37551.90882466056,69312.63724457134,415386.7362542586,77316.22646591881,1837088.5395017536,1115075553.1336005,232176.40854228626,11549.0910616788,,690918.9152067358,,556296033.673928,184264.72619880328,,4561450.353233381,331411.9028535756,2236408.0640142616,,36628.47209410234,,,452512240.91269755,14221672.546612132,151287.3170375824,,303401094.3912853,877938.3637081493,,5747029.184792259,92771.83750638095,5472543.179460005,3075584.735289487,830442.9232434793
2022-05-31,13965.428478944868,20868.14335868472,,1608008.564345042,549809407.9975628,18424.809464954196,501285.6595402672,12798129.09912836,16858554965.013485,74422.69361359732,36009595.11834426,16665049.290702457,16155097.687133154,1903486.741406577,335709.5714285714,181116.37737751007,98509429.53832862,1231463286.9831994,592793.1451434181,2203504.1289976663,1323438.0489213127,,2959902.286442121,105041.82836101169,858700.222269694,46036.33258002145,,,28777024.525824048,271770.624655769,3035.157140096029,,118711.33330208914,28280049.58159526,18247.57126399449,0.0,,16051943.08670589,298634.33460848674,7725333.377978915,,,89701297.69118173,1124863.1859098163,839256.0653141567,42896254.65185983,135697.09343683152,291535.09380022687,317265.094767298,18201116.599237353,,,23456332.111304145,683096.526329858,9180530.15297481,899965.9681047712,4126604.792835031,195252.0469229846,987437.6260755176,707344.5581439337,,4813450.56396666,301571.521175078,141982.38072139877,6962761.963517325,2488793.103699457,16530479.297785532,44051.68583166032,63594.852732476735,175019.51985132127,11038.91779913221,634846.6673050608,1386692722.7812266,284852.8983661107,64419.6185475304,,590843.3245182037,,581458871.8755087,160209.3327999115,,4999913.955972308,269228.7614603837,1607534.382450013,,112646.29502977643,,,413294197.4150885,13102486.579329627,132982.19025248574,,447414212.3143514,1013576.808191481,,6871258.799997966,79757.03298922947,7158642.303830101,2054426.9153322491,854792.8310113294
2022-06-30,8264.666530064174,369111.90422603063,,3147558.4082467216,536746007.3851086,21866.38089361645,515649.92804640817,9371239.874558222,11512517908.230663,39567.34221549261,28588246.870205108,14686722.385315668,40025275.42136964,1821186.708046141,302723.61904761905,110546.427157947,70252166.07031977,835573704.3679011,1330820.9954136894,1688139.335523333,511954.7461941129,,2739563.0172105064,184856.2371540637,999725.49029759,152585.47324226017,,3831032.038049153,71237380.02386093,217223.12680199032,58242.713260650635,,296797.3282269069,16340783.016603334,22469.570945558095,2405.3000223068966,,10528205.008084433,394650.5217535155,10959600.353617895,,,74056729.95743525,799848.5806147257,561594.0443765549,32557717.182450067,99106.04739529746,183392.95463562012,359127.0951952253,20901494.954663232,,,18615231.88414801,9851901.502445767,16830572.09213802,3230330.696669079,116550.04672322955,2598208.9658111334,867186.865733737,16185.015675817218,,7029334.05393873,444527.09746917087,87003.80929623332,12709085.883930752,4706540.282567342,19115124.104797274,80275.76132161276,278447.5661118825,160307.95099167596,43375.68108504159,842412.2355954988,1315302844.625709,1360175.6761823383,10295.724028632754,,476863.1895791917,,515601753.77364385,469220.0977155141,,7496974.270524865,246146.56901983987,57489168.16297599,,680.8571225120908,,,342053173.764692,18655798.77316157,318438.9959721338,,310134007.4639457,2229097.023181688,,6922566.947455633,813273.9717718306,5697650.315130325,2008234.109944389,1642116.8188412983
2022-07-31,25202.699781656265,130047.07295417786,,1298184.2550134659,523711751.8752909,21241.100149154663,268368.99839401245,7781355.015258789,10797890034.952316,59701.1754655838,25179975.22530365,15603391.17307663,18429683.057923317,3002909.336781502,889462.8417562008,91621.40071868896,66475978.84887695,572651825.9477997,389349.8498916626,736187.4498701096,348307.8677082062,,1940113.4370338917,81360.57474076748,514064.0481042862,119574.40135002136,,45414.619853210446,26190284.971089363,660001.7689657211,19400.09961605072,,103065.80056667328,12711115.87430358,181552.83446788788,9806.299991607666,,10815293.928098679,104159.65009093285,6100890.856428146,,,90601451.32802963,990941.6072177887,615249.8454666138,51346638.16699982,132488.45000982285,124021.09861135483,166066.49920225143,15093362.294359207,,,21735570.58839798,4887351.458683014,9548795.810422897,839510.8389472961,212232.78967618942,114793.34913417697,1020244.1634074211,32436.96433959007,,3670206.9584178925,966270.3947623968,55476.49981468916,2969698.6257267,1786941.666777134,5979364.820563793,36557.68504500389,107528.6989915371,130824.6000623703,2288.968081474304,427030.8505886793,898977380.498352,1489450.9836673737,4885.449962615967,,243416.60095453262,,500036649.477005,1814580.1556107402,,4111818.623162508,265918.14925670624,11003295.263317823,,150486.89792633057,,,335876983.5146332,10993476.224899292,294653.5003852844,,267351440.85914612,598780.7515871525,,34743199.87784386,3096489.6662121294,5980303.194236755,1141482.7970337868,2811541.289564371
2022-08-31,172221.52026528897,46908.21833403214,,1555045.0895185056,362272475.26864177,30714.477886324345,727373.9472280378,8223789.911916981,10902690033.447199,94117.90180828261,177205109.29364014,10951945.795739215,26813212.95255578,2850742.4574810527,1144949.0880665572,79038.0863479946,67875966.77138884,755708615.0521652,174926.6517950141,5077949.68189053,877486.7657619974,,1966845.5213588218,99935.9472611676,495647.6560509723,16619.434443764065,,2624.0001015041184,27277082.90858891,839807.376111072,2824.1130455680513,,171970.3414419423,18719529.217406977,27934.347583936607,904.3695698613706,,6350179.519027213,215745.52200514337,7925274.620624211,,,50242020.69962543,2181675.518201745,517604.90478018054,43993921.13282577,116344.91235691568,385427.4285606716,147721.5004257534,17292690.682087775,,,49516868.55531775,6707547.515794505,18319391.889812637,585460.4645438816,1258339.5208166994,113959.38930355984,683986.304749945,81213.29066724362,,5880246.608767302,1147311.3278680262,73470.17341800359,4203968.40466209,1152039.093542099,10660993.69076024,150417.83998841824,119497.12221674297,1027407.7532519465,2772.5013056630673,577438.8722367908,938973688.9716107,826224.1360374119,1651.6521619713824,,773394.9597047723,,536204082.92196524,186718.6947275763,,5858454.338502884,234535.74223181474,2319484.2404635055,,324499.3255283522,,,319695472.3202913,14467734.536295353,149182.56433943045,,289295990.66918415,696554.131592875,,15386009.931332132,253005.8537257236,6722584.677588421,1356892.9655334223,742824.4313219319
2022-09-30,59767.19124090104,23993.804863521033,,2131005.940723419,432175665.45712155,12599.333312397912,16281565.468917575,8528930.979410807,15079625782.844688,55041.31845065526,92230075.72804841,20880601.468331475,15401541.741847992,3535036.2315268745,313442.33326457796,93210.76041857402,76051367.25279453,677147320.8098638,36494893.548368275,1580476.664585159,1081090.6087284996,,1579523.0838565598,101881.39051227343,356978.0465353103,3439.7618475414456,,0.0,26647203.10205732,430310.0309871492,1173.71430624099,,188957.3791322254,11727072.374539148,30387.857845851355,3178.6667596726193,,8171973.105126335,112660.6673728852,10379468.029326484,,,69700725.3582364,967950.7039751326,404134.17040507,49296587.54105341,70403.73776299613,119211.71321868896,229358.0456018448,18924804.649543762,,,22231022.242700487,14397132.03670865,5862278.26204754,493710.53496769496,97628.11837139583,71490.61999661582,1497856.5138757343,40374.12310677483,,5703327.713957287,433513.6112993104,41436.6669186524,7555028.916077387,650462.6208010174,12325146.91052891,118578.90492053259,36965.52387816565,604288.8131096249,2600.887073607672,579218.1138140814,1838561754.1083927,320846.1691129775,8300.285748073033,,296999.8080230894,,478876800.1615252,110130.85523233528,,9517157.775831223,227042.14171561456,3984741.628501529,,12542.523851848784,,,468005473.626491,8633227.964233216,104440.55010250637,,284950928.9582752,671385.138291972,,18495194.865635462,25463172.248333793,9847322.8927249,2449365.9963108245,534457.4233441126
2022-10-31,14316.904731023878,83226.92571821666,,1057974.2615836007,505494055.1874161,7282.904680569966,711035.0516137623,8162031.303841727,12902981598.043097,28186.179578871954,39573208.46149917,19041847.39227295,18088650.133546192,3765373.743247986,3491679.723301388,42467.09463028681,80976804.9864146,567069616.5726798,2886830.7993548256,603352.8080134165,1047881.4980234419,,1674133.6092165539,15334.161936669123,24903.04769334339,6898.666790553501,,856.6742912928263,23605644.80736142,356352.14615322294,8022.999954223633,,22371.143581753684,17690389.054071903,85481.68467567081,199.42857651483445,,8179759.384005411,75488.0003128733,6518304.945982071,,,382362603.1657809,927585.0816908337,448606.0519536336,49102441.21740432,40155.14225732713,91474.85739730654,175476.90291518258,16724777.652268182,,,22330244.520696003,6926673.583957127,10367885.345994858,411859.8714646839,61910.20998018129,8772186.389253963,430427.1332926069,34832.187359219504,,4896104.3379965285,314487.42948747816,26722.238236949557,3801715.0352114723,1665580.284729458,9919782.71262305,48618.64321799505,87397.66614550636,339836.22403371905,89477.07633581615,705953.9008901233,1180855484.5983596,1651452.6491392227,0.0,,116437.19033740816,,556093002.6466006,27607.476266225178,,6076051.77396252,614348.9576977633,1944011.9106077012,,9278.666650681269,,,413346953.1303042,6683631.714101065,100161.24222619193,,272225564.8056757,204788.0949105535,,11117848.16977183,11680897.164202873,13296766.28189087,1753547.7659225464,207115.96251130104
2022-11-30,15109.142821175712,127674.02143932524,,1188921.2305250622,354606448.8108317,6697.142816725232,422086.3792896271,15895375.020781018,11915406433.389355,89429.68665985834,51995468.74105726,15743118.89167059,28311866.777074903,5723141.97414489,2284910.460478919,43336.09481652578,755680300.3095384,753046519.0123422,845841.0934493656,916767.4089216051,1587384.9077815101,,2978376.753473282,8004.1761395477115,358143.4708776928,19117.33407974243,,14594.741504487538,19948608.259114765,338148.71254421416,661.3333384195963,,85508.90723637173,17158850.595468566,120289.9509066627,50.047620137532554,,5194052.718201138,116163.33253270104,12114973.53165036,,,161303517.31825328,866372.3402295794,399880.82513355074,53450314.948272705,168728.86143525442,296399.9553952898,219926.5226159777,24199867.934808277,,,27719910.592633203,10324986.764063153,8315701.963333856,412384.0184529622,21906.20462780907,788273.7224096344,2663058.9619718734,414519.60862877255,,5933898.372513907,378739.7677296684,45380.57081983203,4197489.428874425,926970.0148400806,9996456.794098446,66991.28563177018,49105.557537930355,872305.6340126764,1494.9647665932066,1302304.939947242,1079205381.7407517,2170501.370330084,11589.66703414917,,196579.33290118264,,631161815.3276716,23154.285758166086,,10546378.388772693,130870.33400124028,1048715.8888056164,,19191.81004478818,,,406288385.63472205,9199713.404387519,46295.253024782454,,441948181.694612,219554.52247460684,,12130689.845920745,494813.31186748686,10141269.220334008,1523676.0583116894,534089.9313728014
2022-12-31,14596.142864794958,37340.82409994943,,1127258.4723608834,330965722.6608231,13459.428640774318,336713.1922977311,15187273.841785248,10957151592.429388,209118.23818683624,33958662.76257179,15974534.84624227,23155861.679372333,15306081.000196366,929943.8524654934,118546.85784180959,904954516.7723389,510664958.48246986,600181.8546227047,1088805.9531393505,694521.4486076718,,2591011.3948594956,12976.980871529806,153082.57387252082,1355.238137926374,,284681.67027350835,16227633.706433432,839212.8770964487,345473.95493643626,,26717.619173867362,13263605.609722082,40961.64256504604,10014.09550621396,,5278885.072210857,3306939.3749867165,13383409.725906735,,,114495834.3145098,980337.1620814005,559751.9010543823,52797297.528257824,469988.9939997877,129945.66686380477,510174.85432170687,21471606.11198062,,,30087663.869294666,27675737.632533483,5833569.952578772,614377.3428780691,27738.34736943245,120918.66509545417,1496249.5260753632,20730.378458840507,,5288033.965696608,375956.28872371855,188207.18874392056,3416533.058829535,1054601.6288507553,9967967.351286752,96648.99964559646,95910.4060445513,108769.9044136774,1223.6705055236816,555113.3294094177,1042099289.465332,969411.1896378653,4506.523840767996,,211378.0481122789,,481668933.4582374,35215.952055581976,,14186373.408345949,102596.19105983348,643645.9569096565,,114248.75890640986,,,399506225.91254824,7797208.212405159,214725.9050164904,,260578675.46444848,139279.61695705142,,9967453.500375293,114049.59543432508,9699898.296792166,1039184.9286539213,434422.90798879805
2023-01-31,10395.550150871277,1153721.2564897537,,886459.1967821121,538526397.8579521,10625.299957990646,297434.9496293068,12684279.425163269,9736781139.7126,166500.2000617981,39508750.01031685,15666546.934375763,15575852.98099041,11482954.635000229,686054.9963212013,111887.84839868546,,529951907.8167343,427488.60082387924,1280389.795280695,770040.1021909714,,2207276.7958784103,2574347.401535809,1039681.2142276764,3454.2999696731567,,74463.81433143615,22726923.617362976,4030951.343178749,31772.750635147095,,731600.9857463837,7153416.111156642,258289.81687545776,36295.30074119568,,7831145.584764481,1583313.7980270386,4706899.406714439,,,91391208.51665497,1402126.6214561462,477109.60359573364,36069998.33881378,816706.7381626368,531527.9012739658,614709.918050766,32440492.069911957,,,51062850.22960663,14255228.130283356,11659401.3064003,246158.357963562,29684.439273774624,281878.7003618479,12732782.610001516,31425.130292129517,,6556992.540678978,390035.40380835533,149961.3498148322,3565906.9877815247,1009494.8999428749,7550106.97132349,152563.97280454636,80367.2747194767,1766842.6520347595,843.6100234985352,749990.7026076317,856477230.6159973,123611.54731273651,6636.400022506714,,423579.80853796005,,522741188.83026123,80793.24959754944,,9190288.302718401,105506.15041233599,484424.44540798664,,186456.49512290955,,,499654020.9677124,8990462.498049736,192111.87703609467,,235820617.71240234,139202.85068452358,,8656072.27675438,448107.7507930994,7228196.204452515,861572.554987669,251601.06098890305
2023-02-28,58548.36936247976,442058.8646135832,,1555640.1720699512,326505675.9018948,10962.263281721818,644428.6772941288,22350959.02412816,10406286322.75744,42562.36789602982,42486773.26343617,15414195.714850174,18459477.887409613,7548379.555345836,341996.3681973909,42563.99938056344,,1090620189.1091597,432194.57864259416,1483874.9187381645,995682.6069831848,,2452205.0243001236,87367.2001252049,239251.00360167655,54.63157954968904,,123867.48488827756,26517028.215548865,2413528.768007379,46598.895494561446,,187538.81034851074,7046408.947225935,130302.86866238243,8528.15809249878,,8016393.605111775,396902.578693942,3649072.0326172677,,,145139698.55748227,1233249.7695722077,360863.6821345279,51431185.985645495,193815.13176340805,508581.6298560092,333905.48106871155,15015092.424402738,,,84321652.88788645,10979268.964757418,10017665.1065977,308003.8564180073,31535.084377778203,105066.1067906179,1445570.506899683,850.0966999656275,,14447840.402412415,260375.78872818695,59160.526065136255,3558532.639071816,748976.856803894,16937112.06640946,122005.84250751295,28865.1896890841,2444605.0761524,2190.5263097662673,331119.788616582,1083605045.2426307,172236.20991957816,872.6315849705746,,408136.31413108425,,718933958.3943417,186918.89650649147,,8243754.055639317,398456.46732606384,618125.9490546427,,47769.209209241366,,,425224839.08522755,10021046.351247085,154562.47569259844,,332449593.4812044,204757.9733490944,,11816173.781194186,198354.16201415815,10176515.709485507,1126550.1622400787,183529.56903200402
2023-03-31,132981.21777150943,10797.17382762743,,1542948.7541032874,302524097.79765505,10075.86964731631,412975.5254647006,32763565.50787221,10240433352.223604,20582.869708019753,76391310.61156082,25634082.175528485,11759848.731729258,10000887.872820316,536521.563249049,61192.21773769544,,582174429.833918,399023.9633684573,765616.1154031754,739628.5218570543,,2934900.7716282555,26267.8651858931,1318501.1785258418,2662.434797701628,,8236.595309381899,39820935.95940963,102347.91222862575,14801.304373533829,,353774.8709181081,3074902.557284936,32097.13067179141,2509.326113825259,,7856364.393143032,467510.31200030574,4270743.721366965,,,175974926.16019872,1248662.1501010398,393923.4652394834,45538960.9053902,210458.6895455485,689205.1823139191,224340.65670967102,27333556.128634576,,,88589230.6103582,13132195.654578831,8464722.765781568,538704.0337521097,13191.230541467667,125435.56553462277,498227.55210164876,5318.764949798584,19.209000912378542,13728003.8051004,304506.99971629225,28590.087142716282,2468212.823859505,1130322.5639084112,11697922.650250144,97569.4785895555,17785.09573780972,2788716.074586951,3503.930033766705,1190582.632329153,1269785035.2227252,35788.72209217237,714.5652149034584,,135895.5210768658,,646250503.0234295,648975.7773894331,,8351653.257566949,241841.04270316337,2899031.629295453,,6683.695581684942,,,476505308.07455313,6745372.417199093,75910.55191807124,,309104993.39360774,275174.7833977575,,7477603.783802364,38690.53444033083,11007503.460195791,1079091.686898729,456139.4265864206
2023-04-30,23645.775017738342,27043.638512849808,220.69570257514715,862959.1396061182,410324152.67393446,11860.17519891262,224791.62202697992,34158795.974526405,8390269509.329224,21234.32731384039,,15048382.69154501,10391185.283515453,8365654.543907881,205374.81810596585,47897.16536796093,,691731446.9975204,664610.1661086082,521261.18343500793,1357098.4564352036,,3679771.172942966,12180.576711684465,5926048.574414492,565.7142639160156,538.7760166302323,11104.86716720036,23863221.03247595,43870.712866101945,7952.14262008667,10.325000043958426,485571.437563215,1969794.300809279,24852.428463527136,2323.1427873883927,0.6799999848008156,6001826.561650276,267009.93840172887,3054371.1089993715,,,128517744.93445587,2876905.773996353,435335.2434911728,29525822.179031372,101507.4864609018,746186.261731565,101902.72534656525,11288735.093712807,,,53604634.66124153,14199346.230750084,5553410.816096783,197796.67883586884,14751.554714918137,27661.51298379898,,,,5133651.792617202,96555.79624446481,29910.319970246404,2213495.388958454,1564702.7223493457,10312342.98618412,107460.2002235651,16433.77754816413,467747.6426343918,16732.03898179531,782853.4870893955,828543857.9726562,71169.64768648148,2677.8124511241913,533.6099880728871,70495.30890873075,,525498843.7244339,69395.66316727549,73.79780007526278,7671626.7267255485,147428.38018223643,594012.7141664848,6832.244786687195,4154.143033708845,1.3199999928474426,20.999999530613422,392586471.43045807,8371786.993524075,19440.117406368256,4880.040193915367,272715614.29457855,127560.76018816233,75.45799821615219,18521309.679038525,17076.059974096715,10918918.377961159,1403394.4347953498,322697.8749833405
